request_id,forecast_time,power_output_w,power_output_f0_w,power_output_f10_w,power_output_f25_w,power_output_f50_w,power_output_f75_w,power_output_f90_w,power_output_f100_w,system_temperature_c,nominal_output_efficiency,air_temperature_c,cloud_cover_total,cloud_cover_high,cloud_cover_medium,cloud_cover_low,system_radiation_global_wm2,system_radiation_direct_wm2,system_radiation_diffuse_wm2,radiation_global_wm2,radiation_direct_wm2,radiation_diffuse_wm2
4405,2020-10-12 06:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9,NaN,7.9,99.6,87.7,0.1,96.4,NaN,NaN,NaN,0,0,0
4405,2020-10-12 07:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.15,NaN,8.15,89.1,87.4,0.3,12.8,NaN,NaN,NaN,0.01,0,0.01
4405,2020-10-12 08:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.55,NaN,8.55,91.1,83.4,1.2,46.2,NaN,NaN,NaN,0.01,0,0.01
4405,2020-10-12 09:00:00+03,66.2,10.2,46.1,72.9,114.5,142.9,161.1,173.1,9.78,0.286,9.45,100,83,5.7,99.9,11.59,0.17,11.39,11.63,0.59,11.59
4405,2020-10-12 10:00:00+03,431,123.8,228.6,558.2,793.1,1054.5,1219.9,1367.7,11.09,0.63,10.15,100,96.6,6.2,99.3,34.2,0.99,33.14,34.13,2.37,33.71
4405,2020-10-12 11:00:00+03,2242.5,418.5,886.1,1508.9,2057.1,2793.9,3241.8,3968.8,13.77,0.901,10.5,98.7,95.3,1.7,71.8,124.34,6.8,117.27,114.14,13.42,110.54
4405,2020-10-12 12:00:00+03,4325.1,1582.3,1875.6,2514.5,3633,4346.9,5074.4,6424.8,16.59,0.968,10.9,91.2,85.9,1,36.9,222.7,31.57,190.65,190.24,57.1,171.11
4405,2020-10-12 13:00:00+03,5363.4,2169.2,2653.1,4051.8,5528.5,6365.5,7101.6,7411.1,17.99,0.982,11.2,86.7,77,16.3,32.9,271.76,61.17,210.02,233.9,110.29,192.91
4405,2020-10-12 14:00:00+03,6357.4,2033.9,2912.3,3770.6,4595.3,6307.4,6763.3,7201.4,19.36,0.99,11.4,98,97.9,0.2,5.3,320.54,49.29,270.55,284.44,96.32,248.32
4405,2020-10-12 15:00:00+03,4935.2,1281.2,2263.3,2909.1,4364.6,5081,5527.4,5994.6,17.79,0.976,11.5,99.8,99.6,3.4,62.7,253.18,19.08,233.55,237.68,44.66,222.26
